team,conference,color,alt_color,logo
Fort Valley State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2232.png
Framingham State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2967.png
Franklin,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2233.png
Franklin & Marshall,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2234.png
Fresno State,Mountain West,#c41230,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png
Frostburg State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/341.png
Furman,,#4A2184,#909090,http://a.espncdn.com/i/teamlogos/ncaa/500/231.png
Gallaudet,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/417.png
Gannon,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/367.png
Gardner-Webb,,#c12535,#909090,http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png
Geneva College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2242.png
George Fox University,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/415.png
George Mason,,#016600,#ecb010,http://a.espncdn.com/i/teamlogos/ncaa/500/2244.png
Georgetown,,#110E42,#001c58,http://a.espncdn.com/i/teamlogos/ncaa/500/46.png
Georgia,SEC,#CC0000,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Georgia Southern,Sun Belt,#003775,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png
Georgia State,Sun Belt,#1e539a,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
Georgia Tech,ACC,#00223e,#002c56,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
Gettysburg,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2248.png
Glenville State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2249.png
Graceland University,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/530.png
Grambling,,#ee8601,#ffd10a,http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png
Grand Valley State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/125.png
Greensboro,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2256.png
Greenville,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2257.png
Grinnell,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/65.png
Grove City College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/146.png
Guilford,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2258.png
Gustavus Adolphus,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2968.png
Hamilton,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/348.png
Hamline,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/162.png
Hampden-Sydney,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/297.png
Hampton,,#0067AC,,http://a.espncdn.com/i/teamlogos/ncaa/500/2261.png
Hanover,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2262.png
Harding,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2264.png
Hardin-Simmons,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2810.png
Hartwick,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/173.png
Harvard,,#990000,#dbdbdb,http://a.espncdn.com/i/teamlogos/ncaa/500/108.png
Haskell Indian Nations,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/535.png
Hawai'i,Mountain West,#003420,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
Heidelberg,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/191.png
Henderson State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2271.png
Hendrix College,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/418.png
Hillsdale,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2273.png
Hiram,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2274.png
Hobart,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/174.png
Holland College,,,,
Holy Cross,,#0a0a0a,#080808,http://a.espncdn.com/i/teamlogos/ncaa/500/107.png
Hope,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2812.png
Houston,American Athletic,#C90822,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Houston Baptist,,#00539c,,http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png
Howard,,#9e0b0e,#6b818d,http://a.espncdn.com/i/teamlogos/ncaa/500/47.png
Howard Payne,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2758.png
Humboldt State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2278.png
Huntingdon,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2938.png
Husson,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2280.png
Idaho,,#000000,#8c6e4a,http://a.espncdn.com/i/teamlogos/ncaa/500/70.png
Idaho State,,#ef8c00,#e9a126,http://a.espncdn.com/i/teamlogos/ncaa/500/304.png
Illinois,Big Ten,#f77329,#fa6300,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Illinois College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2286.png
Illinois State,,#CE1126,#ffe716,http://a.espncdn.com/i/teamlogos/ncaa/500/2287.png
Illinois Wesleyan,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/306.png
Incarnate Word,,#000000,#080808,http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png
